BirdID,Status,BreedGroupID,NestWatchID,WatchDate,Month,Year,StartTime,Behaviour,ProvisioningVisit,ObsDuration,SexEstimate,Age,TerritoryID,TQ,TQcorrected,ClutchSize,BroodSize,NoFledglings,WatchType,NestID,NestNumber,Island,FieldPeriodID,HelperNumber,AdditionalBirds,GroupSize,Accurate,Observer
5638,BrM,6714,1375,20/08/2014,08,2014,10:34,FeedingOffspring,5,63,1,1192,177,30176.88,30176.88,1,1,1,FI,3167,2,CN,125,1,0,3,TRUE,MB
5638,BrM,6714,1465,01/09/2014,09,2014,13:53,FeedingOffspring,2,60,1,1204,177,30176.88,30176.88,1,1,1,F,3167,2,CN,125,1,0,3,TRUE,SAK
5638,BrM,6818,1514,18/02/2015,02,2015,10:12,FeedingOffspring,2,60,1,1374,177,14845.15,14845.15,1,1,0,FI,3438,1,CN,139,0,1,3,TRUE,LLD
5639,BrM,6718,1498,30/08/2014,08,2014,14:01,FeedingOffspring,10,60,1,1201,123,5326.20,5326.20,1,1,1,F,3135,1,CN,125,0,0,2,TRUE,KLB
5639,BrM,7557,2450,24/08/2016,08,2016,14:16,FeedingOffspring,6,60,1,1926,123,18584.44,18584.44,1,1,1,FI,4851,3,CN,159,1,0,3,TRUE,KLB
5639,BrM,7557,2469,29/08/2016,08,2016,14:12,FeedingOffspring,4,60,1,1931,123,18584.44,18584.44,1,1,1,F,4851,3,CN,159,1,0,3,TRUE,KLB
5641,BrF,6710,1463,30/08/2014,08,2014,07:52,FeedingOffspring,6,60,0,1247,55,22336.21,22336.21,1,1,0,F,3126,1,CN,125,1,0,3,TRUE,SAK
5641,BrF,6710,1488,25/08/2014,08,2014,09:49,FeedingOffspring,3,60,0,1242,55,22336.21,22336.21,1,1,0,FI,3126,1,CN,125,1,0,3,TRUE,KLB
5641,BrF,7124,1615,12/09/2015,09,2015,14:54,FeedingOffspring,5,60,0,1625,55,40915.61,40915.61,1,1,0,FI,3650,2,CN,142,0,0,2,TRUE,MPD
5641,BrF,7607,2439,17/08/2016,08,2016,16:02,FeedingOffspring,2,60,0,1965,55,14119.96,14119.96,1,1,1,FI,4879,1,CN,159,1,0,3,TRUE,KLB
