BirdID,Status,SexEstimate,BreedGroupID,NestWatchID,WatchDate,Month,Year,StartTime,Behaviour,ProvisioningVisit,ObsDuration,Age,TerritoryID,TQ,TQcorrected,ClutchSize,BroodSize,NoFledglings,WatchType,NestNumber,Island,FieldPeriodID,Accurate,HelperNumber,AdditionalBirds,GroupSize
3643,BrM,1,5146,874,17/09/2011,9,2011,11:34,Feeding_Offspring,8,60,2180,109,61737.4,61737.4,1,1,1,F,2,CN,105,TRUE,0,0,2
2968,BrF,0,5115,885,29/07/2011,7,2011,09:30,Feeding_Offspring,12,60,2857,55,22859.86,22859.86,1,1,1,F,1,CN,105,TRUE,1,0,3
5240,BrM,1,5115,885,29/07/2011,7,2011,09:30,Feeding_Offspring,14,60,1212,55,22859.86,22859.86,1,1,1,F,1,CN,105,TRUE,1,0,3
1678,BrF,0,5157,888,06/08/2011,8,2011,08:45,Feeding_Offspring,4,60,3303,129,32354.71,32354.71,1,1,1,FI,1,CN,105,TRUE,1,0,3
5291,BrM,1,5157,888,06/08/2011,8,2011,08:45,Feeding_Offspring,4,60,1017,129,32354.71,32354.71,1,1,1,FI,1,CN,105,TRUE,1,0,3
1707,BrF,0,5180,889,06/08/2011,8,2011,10:15,Feeding_Offspring,2,60,3517,477,21921.26,21921.26,1,1,1,FI,1,CN,105,TRUE,2,0,4
5334,BrM,1,5124,891,07/08/2011,8,2011,14:45,Feeding_Offspring,6,60,868,72,50296.6,50296.6,1,1,1,F,1,CN,105,TRUE,1,0,3
5452,BrF,0,5124,891,07/08/2011,8,2011,14:45,Feeding_Offspring,13,60,782,72,50296.6,50296.6,1,1,1,F,1,CN,105,TRUE,1,0,3
3497,BrF,0,5102,894,09/08/2011,8,2011,15:50,Feeding_Offspring,5,60,2333,32,56076.72,56076.72,1,1,1,FI,2,CN,105,TRUE,0,0,2
1869,BrM,1,5163,895,10/08/2011,8,2011,14:00,Feeding_Offspring,11,60,2925,154,8035.33,8035.33,1,1,1,F,1,CN,105,TRUE,1,0,3
5324,BrF,0,5163,895,10/08/2011,8,2011,14:00,Feeding_Offspring,6,60,893,154,8035.33,8035.33,1,1,1,F,1,CN,105,TRUE,1,0,3
5216,BrF,0,5136,898,15/08/2011,8,2011,08:00,Feeding_Offspring,6,60,1357,90,38520.51,38520.51,1,1,1,F,1,CN,105,TRUE,1,0,3
5292,BrM,1,5136,898,15/08/2011,8,2011,08:00,Feeding_Offspring,4,60,995,90,38520.51,38520.51,1,1,1,F,1,CN,105,TRUE,1,0,3
1616,BrM,1,5155,900,17/08/2011,8,2011,10:00,Feeding_Offspring,12,75,3922,127,37525.65,37525.65,2,2,0,F,1,CN,105,TRUE,2,0,4
5323,BrF,0,5155,900,17/08/2011,8,2011,10:00,Feeding_Offspring,10,75,900,127,37525.65,37525.65,2,2,0,F,1,CN,105,TRUE,2,0,4
1605,BrF,0,5080,901,19/08/2011,8,2011,11:23,Feeding_Offspring,6,60,3938,8,127327.12,127327.12,1,1,1,F,2,CN,105,TRUE,1,1,4
5620,BrM,1,5080,901,19/08/2011,8,2011,11:23,Feeding_Offspring,6,60,290,8,127327.12,127327.12,1,1,1,F,2,CN,105,TRUE,1,1,4
1801,BrM,1,5161,904,27/08/2011,8,2011,13:27,Feeding_Offspring,17,60,3180,138,7623.16,7623.16,2,2,2,FI,1,CN,105,TRUE,1,0,3
3451,BrF,0,5161,904,27/08/2011,8,2011,13:27,Feeding_Offspring,16,60,2327,138,7623.16,7623.16,2,2,2,FI,1,CN,105,TRUE,1,0,3
1499,BrM,1,5089,906,29/08/2011,8,2011,16:00,Feeding_Offspring,7,60,4400,9,92085.58,92085.58,1,1,1,F,2,CN,105,TRUE,2,0,4
1826,BrF,0,5089,906,29/08/2011,8,2011,16:00,Feeding_Offspring,9,60,2942,9,92085.58,92085.58,1,1,1,F,2,CN,105,TRUE,2,0,4
1604,BrM,1,5131,907,30/08/2011,8,2011,15:03,Feeding_Offspring,4,60,3950,83,43888.08,43888.08,1,1,1,F,1,CN,105,TRUE,0,1,3
3567,BrF,0,5131,907,30/08/2011,8,2011,15:03,Feeding_Offspring,11,60,2442,83,43888.08,43888.08,1,1,1,F,1,CN,105,TRUE,0,1,3
5077,BrM,1,5172,908,17/09/2011,9,2011,11:30,Feeding_Offspring,7,60,1605,174,84681.69,84681.69,1,1,1,F,2,CN,105,TRUE,0,0,2
5162,BrF,0,5172,908,17/09/2011,9,2011,11:30,Feeding_Offspring,8,60,1706,174,84681.69,84681.69,1,1,1,F,2,CN,105,TRUE,0,0,2
4933,BrM,1,5343,1028,31/07/2012,7,2012,11:05,Feeding_Offspring,10,60,2153,128,8239.75,8239.75,1,1,1,F,1,CN,116,TRUE,1,0,3
5277,BrF,0,5343,1028,31/07/2012,7,2012,11:05,Feeding_Offspring,11,60,1381,128,8239.75,8239.75,1,1,1,F,1,CN,116,TRUE,1,0,3
5323,BrF,0,5346,1034,20/08/2012,8,2012,10:50,Feeding_Offspring,18,60,1269,127,8418.94,8418.94,1,1,1,FI,1,CN,116,TRUE,1,0,3
5783,BrM,1,5346,1034,20/08/2012,8,2012,10:50,Feeding_Offspring,10,60,306,127,8418.94,8418.94,1,1,1,FI,1,CN,116,TRUE,1,0,3
5341,BrF,0,5358,1036,21/08/2012,8,2012,11:08,Feeding_Offspring,3,60,1342,126,11375.02,11375.02,1,1,0,FI,1,CN,116,TRUE,0,0,2
